video_id,category,title,publishedAt,viewCount,likeCount,commentCount,duration
XThkNxyE10M,fashion,"My Jewellery Collection 2024 | Cartier, Mejuri, Vintage, Jane Koening | Monika Cioch",2024-01-04T12:28:25Z,16424,456,31,PT27M11S
EhzsmJ4rWBo,review,MAN RANKS ALL DELINA PERFUMES FROM BEST TO WORST,2024-01-01T11:00:09Z,23658,676,42,PT8M2S
MenAQp_gnLI,review,RATING 14 CELEBRITIES SIGNATURE PERFUMES,2023-12-26T11:00:28Z,37375,1413,126,PT19M53S
Ei2-s6kzJN8,recommendation,11 SUPER ADDICTIVE Smelling Perfumes For Women,2023-12-22T10:30:04Z,20779,847,47,PT17M10S
__Qbk0T0jA4,fun,GETTING MY LIFE TOGETHER | Monika Cioch,2023-12-19T13:13:54Z,5020,204,21,PT10M47S
g_lz8pfml6o,recommendation,TOP 10 MOST COMPLIMENTED PERFUMES,2023-12-16T12:00:35Z,79357,1990,132,PT17M41S
0S2ddsUvU7Y,fashion,CARTIER LOVE BRACELET REVIEW | Is it worth the money?,2023-12-13T12:30:38Z,19934,258,49,PT15M44S
lp2EtPkAOuM,informative,PRADA PARADOXE EDP vs INTENSE | which one is the one for you?,2023-12-10T12:00:35Z,21711,565,38,PT9M48S
u0Eu9gsAbcs,recommendation,TOP 11 EVERYDAY ALL-YEAR-ROUND Perfumes For Women | these will make you smell gorgeous 🥰,2023-12-07T15:24:49Z,32396,1174,48,PT20M31S
BqsMWjTsgCs,fun,COME LUXURY SHOPPING WITH ME & my night time routine vlog | Monika Cioch,2023-12-04T14:24:07Z,8204,354,34,PT32M22S
6mg1cELVc2Y,recommendation,Top 10 WINTER PERFUMES FOR WOMEN | DESIGNER EDITION,2023-12-02T12:00:05Z,19213,926,57,PT16M29S
E3hzj9HDvPQ,review,MAN REACTS TO TOP 10 SEXY PERFUMES FOR WOMEN,2023-11-30T16:36:11Z,38732,1102,70,PT16M55S
XgpC53gMSxw,fun,Let's decorate for Christmas Vlog | Monika Cioch,2023-11-27T12:00:27Z,3933,220,32,PT36M39S
iG_hht_Rbiw,recommendation,Top 15 CLASSY PERFUMES For Women | Fragrances That Never Go Out Of Style,2023-11-25T12:00:39Z,23760,876,51,PT18M10S
_CtthS62gsA,recommendation,10 Fragrances For Women You'll NEVER REGRET Buying | Niche & Designer SAFE BET Perfumes,2023-11-22T13:25:26Z,41340,1321,87,PT16M30S
paha0GSG29Y,recommendation,11 ABSOLUTE BEST VANILLA PERFUMES FOR WOMEN,2023-11-18T12:30:35Z,25546,1109,98,PT21M31S
bCFq7KchBbk,fashion,HERMES BIRKIN AFTER ONE YEAR | do I regret buying it... | Monika Cioch,2023-11-16T12:23:11Z,5744,173,31,PT18M53S
G_mDf-LIq_8,fun,CAN'T BELIEVE THIS IS MY LIFE | Monika Cioch,2023-11-13T14:51:59Z,7922,311,22,PT21M41S
XPavF16nSpc,recommendation,Top 10 NICHE WINTER PERFUMES FOR WOMEN 2023/24,2023-11-11T12:00:25Z,14459,748,35,PT19M47S
GjdnVviMIdA,recommendation,10 DESIGNER PERFUMES I CANNOT LIVE WITHOUT | Monika Cioch,2023-11-09T12:00:23Z,23236,1084,68,PT17M46S
9iKxTNJQRSQ,fun,social media is not for me | Monika Cioch,2023-11-06T14:02:35Z,10904,540,103,PT26M3S
jw_aYxQqCRg,informative,Armani Si Eau de Parfum vs Si Intense | Which One Is Better?,2023-11-04T12:00:44Z,18050,390,30,PT9M9S
RVJUGKdyg-c,fun,PERFUMES I'VE BEEN WEARING THIS WEEK + chit chat,2023-11-02T12:27:21Z,6275,349,26,PT14M32S
xxFzu8JhzaY,recommendation,TOP 10 PERFUMES FOR WOMEN EVER 🥰 | Monika Cioch's husband edition,2023-10-31T12:35:14Z,127416,3444,152,PT15M53S
tZrFFKCjxKw,recommendation,TOP 10 HEAD TURNER PERFUMES FOR WOMEN,2023-10-28T13:03:08Z,22550,829,41,PT18M43S
ZXDEYS2bNgQ,fun,I'M DOING THIS FOR HIM | Monika Cioch,2023-10-25T11:28:46Z,4986,217,31,PT27M11S
5JhR5MqFYBc,recommendation,8 BEST PERFUME PURCHASES OF 2023,2023-10-21T11:30:03Z,19433,739,55,PT16M18S
vbzp4FLDPk4,fun,"Q&A | How Much Do I Spend On Perfume💰, Moving House? | Monika Cioch",2023-10-18T11:59:54Z,8074,461,42,PT18M52S
xnylKtdelWk,review,CREED CARMINA REVIEW | watch before you buy,2023-10-16T13:28:25Z,9405,313,28,PT7M20S
rP4DG69nmMU,recommendation,My 12 All-Time Favourite Niche Perfumes,2023-10-14T11:30:31Z,22028,814,56,PT16M38S
eAVmbZCVo-k,fun,NEW CAR & FINALLY EXPANDING MY PERFUME STORAGE | Monika Cioch,2023-10-11T13:24:41Z,6451,252,32,PT21M39S
3ol01ZFHKt4,recommendation,Dream Minimalistic Perfume Collection | 3 PERFUMES FOR LIFE,2023-10-09T11:30:03Z,27010,984,55,PT12M26S
f7eJaAVKVX8,recommendation,THE MOST POPULAR PERFUMES OF 2023 Rated By Man,2023-10-07T11:00:34Z,68075,1544,95,PT13M22S
1C71F1QPPT8,fun,EVERYTHING HAS CHANGED | Monika Cioch,2023-10-03T14:21:46Z,11578,471,49,PT19M21S
LzIyqSuoZPQ,recommendation,11 PERFUMES MEN GO CRAZY FOR 😍,2023-09-30T11:00:15Z,151670,3137,154,PT17M18S
dRQ0gZw3UYs,recommendation,TOP 10 NICHE FALL PERFUMES For Women 2023,2023-09-25T13:11:32Z,16416,637,68,PT17M22S
aa4yI-Fke8E,fashion,"My Favourite Perfumes and Jewellery Pieces Now | HELAS, Zadig&Voltaire, Xerjoff...",2023-09-23T11:30:01Z,6953,285,18,PT15M2S
4iXOFWz2EHE,fun,"i'm not ok | mental health, norway trip, starting therapy vlog",2023-09-19T12:00:06Z,13120,630,126,PT16M18S
1Ka7SnAOjJM,recommendation,THE BEST DESIGNER PERFUME RELEASES FOR WOMEN 2023 so far,2023-09-17T11:00:02Z,17916,609,35,PT12M41S
YfU_e6S_Oqw,recommendation,My Husband Chooses Only 10 Perfumes From My Collection I'd Have To Keep For The Rest of My Life 🫣😅,2023-09-10T11:00:21Z,106513,2890,136,PT19M24S
Mi1KrZgl52g,fun,FALL/AUTUMN OUTFIT IDEAS | 7 days 7 looks 7 perfumes,2023-09-08T12:00:18Z,4315,229,17,PT9M21S
1Xv7RCS3JaA,recommendation,TOP 10 FALL PERFUMES FOR WOMEN 2O23,2023-09-02T11:52:11Z,35352,1480,67,PT14M54S
FAM3s7tPp2s,recommendation,15 MUST OWN PERFUMES To Build an Amazing Fragrance Collection From Scratch,2023-08-31T11:50:13Z,11261,466,20,PT17M38S
VC7w59w3_mY,informative,The Best Fragrances For Women From Tom Ford | Perfume Buying Guide,2023-08-28T10:48:20Z,21250,518,51,PT14M50S
