video_id,category,title,publishedAt,viewCount,likeCount,commentCount,durationMinutes,durationSeconds
gbOPGSDUD7I,recommendation,Top 11 VERSATILE EVERYDAY PERFUMES ( That You Won't Be Able To Stop Wearing ),2023-03-11T12:00:25Z,19737.0,791.0,26.0,15,13
W9NOBuMfuFE,fashion,CHANEL BAG UNBOXING | mini bag,2023-03-09T12:30:13Z,8375.0,168.0,25.0,6,32
Ub5S-Rui_QQ,fun,CLEAN & ORGANISE MY ENTIRE PERFUME COLLECTION WITH ME,2023-03-06T14:58:32Z,8646.0,335.0,38.0,21,36
-yDsbw3xlog,recommendation,13 PERFUMES I'D IMMEDIATELY RUN TO REPURCHASE IF MY 600+ COLLECTION GOT STOLEN,2023-03-04T13:00:00Z,23229.0,749.0,47.0,19,1
vsuEv6yqQPQ,fun,"VLOG | NEW BLACK OPIUM LE PARFUM, HOME DECOR UPDATE, MAKING SOURDOUGH BREAD",2023-03-02T13:00:44Z,3153.0,133.0,14.0,26,25
McXPBlLowmc,fun,"VLOG | Hermes Belt Unboxing, New Perfume & Celebrating Doughnut Day 🍩",2023-02-27T14:17:35Z,2955.0,97.0,25.0,16,25
bXXpkFEfmF0,recommendation,TOP 10 SUPER LONG LASTING PERFUMES FOR WOMEN,2023-02-25T12:30:16Z,47652.0,908.0,45.0,14,30
GSj0o0G5dPE,fashion,HUSBAND RATES MY NEW SPRING OUTFITS | COS TRY ON HAUL,2023-02-23T13:00:10Z,3437.0,128.0,21.0,16,38
egYjLhWov-Y,fun,"3 NEW PERFUMES, WINE TASTING & PICKING UP OUR NEW CAR  | Monika Cioch",2023-02-20T13:17:24Z,3711.0,186.0,19.0,25,10
r2liQEv49Lo,recommendation,The Only 10 Spring Perfumes You Need,2023-02-18T14:28:23Z,17946.0,624.0,47.0,15,31
8x9pwDHVDSo,fun,WHAT'S IN MY BAG 2023 | Monika Cioch,2023-02-16T13:00:11Z,6712.0,201.0,10.0,10,58
nQVxG7xw9tY,fun,DOING WHAT I FEAR THE MOST + VALENTINE'S DAY DATE | Monika Cioch,2023-02-13T13:13:09Z,2270.0,101.0,6.0,10,50
bhClc0tm2MU,recommendation,14 Perfumes You Have To Know About,2023-02-11T13:00:34Z,9099.0,409.0,16.0,16,23
IazRyS1aSGA,fashion,"Best Designer Bags EVER | Bottega, Hermes, Goyard and more",2023-02-09T13:00:11Z,3619.0,81.0,9.0,16,14
l_N1efVmLN4,recommendation,BEST CLEAN & FLORAL PERFUMES ( perfect for everyday ),2023-02-06T13:00:37Z,20450.0,581.0,31.0,13,23
HzrKVcDOjMk,fun,"Crazy perfume lady, yep that's me",2023-02-06T11:14:28Z,10547.0,365.0,19.0,0,5
larfaS4StpQ,recommendation,TOP 14 DESIGNER PERFUMES | BEST OF ALL TIME,2023-02-04T13:00:34Z,93423.0,2182.0,118.0,16,8
SYKbh3zZoqg,fun,"WEEKLY VLOG Manchester, New Perfume, Luxury Shopping,  🥟 Trying Dim Sum for the first time",2023-02-02T12:30:26Z,4727.0,181.0,16.0,23,38
BFa1O_RFkJo,fun,LUXURY WISH LIST 2023 | timeless pieces,2023-01-30T12:47:36Z,2389.0,105.0,9.0,9,39
Efnnwf4C6v8,recommendation,I WORE OVER 100 PERFUMES LAST YEAR BUT THESE 8 GAVE ME THE MOST COMPLIMENTS,2023-01-28T13:00:07Z,10650.0,485.0,22.0,11,8
ZErrb5TxLXI,fun,"VLOG | BEST ANTI-AGING ADVICE I'VE BEEN GIVEN,  5 NEW PERFUMES, ANTIQUE SHOPPING | Monika Cioch",2023-01-26T13:14:48Z,7517.0,254.0,23.0,23,13
hpr5dgcstao,recommendation,ALL OF MY SIGNATURE PERFUMES I'VE EVER WORN | 14 PERFUME ERAS,2023-01-23T12:44:51Z,14758.0,551.0,61.0,16,59
CINH4_HXUUE,informative,INITIO PARFUMS Buying Guide | THE BEST PERFUMES TO GET FROM THE LINE,2023-01-20T14:18:57Z,52352.0,1109.0,75.0,15,32
z6lxIxKLmnI,fun,VLOG | MOST WORN/LEAST WORN PERFUMES | PLANS & GOALS FOR 2023 + CHITCHAT | Monika Cioch,2023-01-18T15:52:11Z,7545.0,289.0,45.0,33,40
2iMFXIGfTrk,recommendation,10 PRETTY FLORAL PERFUMES I can wholeheartedly recommend from my 600+ perfume collection,2023-01-15T12:30:02Z,6938.0,305.0,16.0,12,26
G_ByeDUa01k,recommendation,11 PERFUMES THAT WILL MAKE YOU FEEL HAPPY (even if you're stuck at a job you hate ☺️),2023-01-12T13:00:10Z,11277.0,477.0,28.0,13,53
fGUuioKfx9M,recommendation,MY 10 MOST WORN PERFUMES THIS WINTER (so far),2023-01-07T12:45:00Z,10904.0,365.0,20.0,12,1
subGTXI--FM,recommendation,I Have Expensive Taste But These 9 Affordable Perfumes Actually Smell So Luxurious,2023-01-03T14:02:03Z,36298.0,858.0,35.0,11,16
Rv-8nxApOfc,recommendation,THE ULTIMATE PERFUME LIST | 10 OVERALL BEST PERFUMES FOR WOMEN,2022-12-30T14:05:41Z,35879.0,830.0,35.0,14,0
fIEjDNsX9ks,recommendation,10 PERFUMES I'D REPURCHASE IN A HEARTBEAT IF I EVER RUN OUT,2022-12-27T16:03:37Z,16318.0,514.0,23.0,14,5
